Address,Price,Sold_Year
AINTREE VIC 3336,"$785,000 ",Sold by private treaty 24 Nov 2022
ALFREDTON VIC 3350,"$545,000 ",Sold by private treaty 24 Nov 2022
ALTONA VIC 3018,"$955,000 ",Sold by private treaty 24 Nov 2022
ALTONA MEADOWS VIC 3028,"$806,000 ",Sold by private treaty 24 Nov 2022
ALTONA MEADOWS VIC 3028,"$335,000 ",Sold by private treaty 24 Nov 2022
ANGLESEA VIC 3230,"$1,150,000 ",Sold by private treaty 24 Nov 2022
ARARAT VIC 3377,"$225,000 ",Sold by private treaty 24 Nov 2022
AVONDALE HEIGHTS VIC 3034,"$770,000 ",Sold by private treaty 24 Nov 2022
BALLARAT EAST VIC 3350,"$349,000 ",Sold by private treaty 24 Nov 2022
BALLARAT NORTH VIC 3350,"$430,000 ",Sold by private treaty 24 Nov 2022
BAYSWATER VIC 3153,"$1,020,000 ",Sold by private treaty 24 Nov 2022
BERWICK VIC 3806,"$705,000 ",Sold by private treaty 24 Nov 2022
BERWICK VIC 3806,"$685,000 ",Sold by private treaty 24 Nov 2022
BEVERIDGE VIC 3753,"$290,000 ",Sold by private treaty 24 Nov 2022
BOLWARRA VIC 3305,"$365,000 ",Sold by private treaty 24 Nov 2022
BROOKFIELD VIC 3338,"$520,000 ",Sold by private treaty 24 Nov 2022
BRUNSWICK EAST VIC 3057,"$460,000 ",Sold by private treaty 24 Nov 2022
CASTELLA VIC 3777,"$1,200,000 ",Sold by private treaty 24 Nov 2022
CASTLEMAINE VIC 3450,"$1,250,000 ",Sold by private treaty 24 Nov 2022
CLAYTON VIC 3168,"$1,315,000 ",Sold by private treaty 24 Nov 2022
CLYDE NORTH VIC 3978,"$850,000 ",Sold by private treaty 24 Nov 2022
CRESWICK VIC 3363,"$490,000 ",Sold by private treaty 24 Nov 2022
DANDENONG VIC 3175,"$245,000 ",Sold by private treaty 24 Nov 2022
DONCASTER VIC 3108,"$880,314 ",Sold by private treaty 24 Nov 2022
DONCASTER EAST VIC 3109,"$600,000 ",Sold at auction 24 Nov 2022
DONCASTER EAST VIC 3109,"$499,999 ",Sold by private treaty 24 Nov 2022
DONNYBROOK VIC 3064,"$590,000 ",Sold by private treaty 24 Nov 2022
DROUIN VIC 3818,"$780,000 ",Sold by private treaty 24 Nov 2022
ENFIELD VIC 3352,"$700,000 ",Sold by private treaty 24 Nov 2022
FERNTREE GULLY VIC 3156,"$655,000 ",Sold prior to auction 24 Nov 2022
